alpha,beta,SumErr
5.65306122449,6.0,0.350355093729
5.65306122449,7.0,1.8835259173
5.65306122449,8.0,3.82705038317
5.65306122449,9.0,6.15229611542
5.65306122449,10.0,8.82103008061
5.65306122449,11.0,11.7912833086
5.65306122449,12.0,15.0210229014
5.65306122449,13.0,18.470279023
5.65306122449,14.0,22.1022451618
5.65306122449,15.0,25.8837496517
5.65306122449,16.0,29.7853360127
5.65306122449,17.0,33.7811239475
5.65306122449,18.0,37.8485532054
5.65306122449,19.0,41.9680806548
5.65306122449,20.0,46.1228537494
6.04081632653,1.0,1.99999999993
6.04081632653,2.0,1.98626598081
6.04081632653,3.0,1.89741180566
6.04081632653,4.0,1.631532385
6.04081632653,5.0,1.09273562822
6.04081632653,6.0,0.21634284678
6.04081632653,7.0,1.0279461566
6.04081632653,8.0,2.64283714206
6.04081632653,9.0,4.61220679453
6.04081632653,10.0,6.90863539285
6.04081632653,11.0,9.49896478706
6.04081632653,12.0,12.3480533797
6.04081632653,13.0,15.4211443511
6.04081632653,14.0,18.6852639694
6.04081632653,15.0,22.1099631596
6.04081632653,16.0,25.6676409494
6.04081632653,17.0,29.3336012635
6.04081632653,18.0,33.0859603275
6.04081632653,19.0,36.9054660362
6.04081632653,20.0,40.7752767277
6.42857142857,1.0,1.99999999999
6.42857142857,2.0,1.99191284931
6.42857142857,3.0,1.93278628563
6.42857142857,4.0,1.74183389542
6.42857142857,5.0,1.3338822059
6.42857142857,6.0,0.644109303608
6.42857142857,7.0,0.364702940631
6.42857142857,8.0,1.70508860806
6.42857142857,9.0,3.37117731777
6.42857142857,10.0,5.34494465935
6.42857142857,11.0,7.60124491686
6.42857142857,12.0,10.1114593851
6.42857142857,13.0,12.8459695224
6.42857142857,14.0,15.7757358993
6.42857142857,15.0,18.8732436804
6.42857142857,16.0,22.1130128183
6.42857142857,17.0,25.4718255484
6.42857142857,18.0,28.9287710874
6.42857142857,19.0,32.4651797765
6.42857142857,20.0,36.064493423
6.81632653061,1.0,2.0
6.81632653061,2.0,1.9952290804
6.81632653061,3.0,1.95588462434
6.81632653061,4.0,1.81880975194
6.81632653061,5.0,1.5101399666
6.81632653061,6.0,0.9676838585
6.81632653061,7.0,0.150501999508
6.81632653061,8.0,0.961003711885
6.81632653061,9.0,2.36914302981
6.81632653061,10.0,4.06387042208
6.81632653061,11.0,6.02716556955
6.81632653061,12.0,8.23644252197
6.81632653061,13.0,10.6670049493
6.81632653061,14.0,13.2937184342
6.81632653061,15.0,16.0920897866
6.81632653061,16.0,19.0389226054
6.81632653061,17.0,22.1126779614
6.81632653061,18.0,25.2936374504
6.81632653061,19.0,28.5639373182
6.81632653061,20.0,31.9075223411
7.20408163265,1.0,2.0
7.20408163265,2.0,1.99718063466
7.20408163265,3.0,1.97099786062
7.20408163265,4.0,1.87263595799
7.20408163265,5.0,1.63922169672
7.20408163265,6.0,1.21291402224
7.20408163265,7.0,0.551464584389
7.20408163265,8.0,0.369495967942
7.20408163265,9.0,1.55860885408
7.20408163265,10.0,3.01245662285
7.20408163265,11.0,4.71923365597
7.20408163265,12.0,6.66182116629
7.20408163265,13.0,8.82013612872
7.20408163265,14.0,11.172820229
7.20408163265,15.0,13.6983976495
7.20408163265,16.0,16.376030769
7.20408163265,17.0,19.1859845523
7.20408163265,18.0,22.1098864406
7.20408163265,19.0,25.1308456334
7.20408163265,20.0,28.2334797484
7.59183673469,1.0,2.0
7.59183673469,2.0,1.99833127399
7.59183673469,3.0,1.98090478587
7.59183673469,4.0,1.91034328015
7.59183673469,5.0,1.73392337683
7.59183673469,6.0,1.39909468525
7.59183673469,7.0,0.864054595346
7.59183673469,8.0,0.101516933866
7.59183673469,9.0,0.901885553957
7.59183673469,10.0,2.14811801995
7.59183673469,11.0,3.63069502308
7.59183673469,12.0,5.33736612188
7.59183673469,13.0,7.25229273119
7.59183673469,14.0,9.35769502607
7.59183673469,15.0,11.6350382392
7.59183673469,16.0,14.0658511715
7.59183673469,17.0,16.632265985
7.59183673469,18.0,19.3173540391
7.59183673469,19.0,22.1053160807
7.59183673469,20.0,24.9815715494
7.97959183673,1.0,2.0
7.97959183673,2.0,1.99901088533
7.97959183673,3.0,1.98741007319
7.97959183673,4.0,1.93680295819
7.97959183673,5.0,1.80351609521
7.97959183673,6.0,1.54067246961
7.97959183673,7.0,1.1081352492
7.97959183673,8.0,0.477164294971
7.97959183673,9.0,0.368970826362
7.97959183673,10.0,1.43649820326
7.97959183673,11.0,2.72340369141
7.97959183673,12.0,4.22170212813
7.97959183673,13.0,5.91939817851
7.97959183673,14.0,7.80204571602
7.97959183673,15.0,9.85392256888
7.97959183673,16.0,12.0588791958
7.97959183673,17.0,14.400928557
7.97959183673,18.0,16.8646387505
7.97959183673,19.0,19.4353800214
7.97959183673,20.0,22.0994665392
8.36734693878,1.0,2.0
8.36734693878,2.0,1.99941291504
8.36734693878,3.0,1.99168844354
8.36734693878,4.0,1.95539874894
8.36734693878,5.0,1.85473466184
8.36734693878,6.0,1.64849284788
8.36734693878,7.0,1.29899983475
8.36734693878,8.0,0.777184806514
8.36734693878,9.0,0.095586205395
8.36734693878,10.0,0.849798643265
8.36734693878,11.0,1.96614469514
8.36734693878,12.0,3.28064481277
8.36734693878,13.0,4.78473354188
8.36734693878,14.0,6.46702499734
8.36734693878,15.0,8.31444444948
8.36734693878,16.0,10.3130798017
8.36734693878,17.0,12.4487992603
8.36734693878,18.0,14.7076836256
8.36734693878,19.0,17.0763167227
