alpha,beta,SumErr
16.1224489796,8.0,1.98236720676
16.1224489796,9.0,1.96052507785
16.1224489796,10.0,1.92238679257
16.1224489796,11.0,1.86190835181
16.1224489796,12.0,1.77288391854
16.1224489796,13.0,1.64930866402
16.1224489796,14.0,1.48565578931
16.1224489796,15.0,1.27706246406
16.1224489796,16.0,1.0194343607
16.1224489796,17.0,0.709484751947
16.1224489796,18.0,0.344725148096
16.1224489796,19.0,0.102531545977
16.1224489796,20.0,0.555462803021
16.5102040816,1.0,2.0
16.5102040816,2.0,1.99999998746
16.5102040816,3.0,1.99999835501
16.5102040816,4.0,1.99996440116
16.5102040816,5.0,1.99969434483
16.5102040816,6.0,1.99848337196
16.5102040816,7.0,1.99472757978
16.5102040816,8.0,1.98566161445
16.5102040816,9.0,1.96734381412
16.5102040816,10.0,1.93486576478
16.5102040816,11.0,nan
16.5102040816,12.0,1.80504062557
16.5102040816,13.0,1.6962141585
16.5102040816,14.0,1.55088233265
16.5102040816,15.0,1.36426922653
16.5102040816,16.0,1.13227205083
16.5102040816,17.0,0.851516469644
16.5102040816,18.0,0.519364009465
16.5102040816,19.0,0.133885305648
16.5102040816,20.0,0.306189123902
16.8979591837,1.0,2.0
16.8979591837,2.0,1.99999999244
16.8979591837,3.0,1.9999988973
16.8979591837,4.0,1.99997450349
16.8979591837,5.0,1.99977078562
16.8979591837,6.0,1.99882330039
16.8979591837,7.0,1.99580028066
16.8979591837,8.0,1.98833647578
16.8979591837,9.0,1.97297557254
16.8979591837,10.0,1.94532024657
16.8979591837,11.0,1.90031716685
16.8979591837,12.0,1.83259137968
16.8979591837,13.0,1.73676436304
16.8979591837,14.0,1.60771795088
16.8979591837,15.0,1.44078966588
16.8979591837,16.0,1.23190029332
16.8979591837,17.0,0.977622655746
16.8979591837,18.0,0.675203656954
16.8979591837,19.0,0.322551780157
16.8979591837,20.0,0.102789379488
17.2857142857,1.0,2.0
17.2857142857,2.0,1.99999999544
17.2857142857,3.0,1.99999926053
17.2857142857,4.0,1.9999817322
17.2857142857,5.0,1.99982804756
17.2857142857,6.0,1.99908671913
17.2857142857,7.0,1.99665359193
17.2857142857,8.0,1.99050917149
17.2857142857,9.0,1.97762881605
17.2857142857,10.0,1.95408209781
17.2857142857,11.0,1.91526704744
17.2857142857,12.0,1.8562049367
17.2857142857,13.0,1.77183362772
17.2857142857,14.0,1.65726062511
17.2857142857,15.0,1.50795818877
17.2857142857,16.0,1.31989778321
17.2857142857,17.0,1.08962974628
17.2857142857,18.0,0.814317929925
17.2857142857,19.0,0.491739927483
17.2857142857,20.0,0.120262715621
17.6734693878,1.0,2.0
17.6734693878,2.0,1.99999999725
17.6734693878,3.0,1.99999950393
17.6734693878,4.0,1.99998690677
17.6734693878,5.0,1.99987095973
17.6734693878,6.0,1.99929092909
17.6734693878,7.0,1.99733264737
17.6734693878,8.0,1.99227465386
17.6734693878,9.0,nan
17.6734693878,10.0,1.96142812045
17.6734693878,11.0,1.92795319322
17.6734693878,12.0,1.87645138557
17.6734693878,13.0,1.80217380844
17.6734693878,14.0,1.70046170743
17.6734693878,15.0,1.56693875811
17.6734693878,16.0,1.39764976593
17.6734693878,17.0,1.18914888824
17.6734693878,18.0,0.93854494937
17.6734693878,19.0,0.643512915872
17.6734693878,20.0,0.302280363083
18.0612244898,1.0,2.0
18.0612244898,2.0,1.99999999834
18.0612244898,3.0,1.9999996671
18.0612244898,4.0,1.99999061237
18.0612244898,5.0,1.99990313048
18.0612244898,6.0,1.99944929859
18.0612244898,7.0,1.99787323402
18.0612244898,8.0,1.99370977401
18.0612244898,9.0,1.98465531766
18.0612244898,10.0,1.96758932186
18.0612244898,11.0,1.93872222677
18.0612244898,12.0,1.89381698357
18.0612244898,13.0,1.82843180231
18.0612244898,14.0,1.73814598475
18.0612244898,15.0,1.61874726433
18.0612244898,16.0,1.46637246838
18.0612244898,17.0,1.27760217417
18.0612244898,18.0,1.04951490267
18.0612244898,19.0,0.779708418325
18.0612244898,20.0,0.466295953973
18.4489795918,1.0,2.0
18.4489795918,2.0,1.999999999
18.4489795918,3.0,1.99999977652
18.4489795918,4.0,1.999993267
18.4489795918,5.0,1.99992725742
18.4489795918,6.0,1.99957216249
18.4489795918,7.0,1.99830374237
18.4489795918,8.0,1.99487676486
18.4489795918,9.0,1.9872859209
18.4489795918,10.0,1.97275859405
18.4489795918,11.0,nan
18.4489795918,12.0,1.90871671054
18.4489795918,13.0,1.85116450762
18.4489795918,14.0,1.7710289165
18.4489795918,15.0,1.66427086324
18.4489795918,16.0,1.52713433094
18.4489795918,17.0,1.35624554934
18.4489795918,18.0,1.14867440661
18.4489795918,19.0,0.901964218906
18.4489795918,20.0,0.614136670613
18.8367346939,1.0,2.0
18.8367346939,2.0,1.99999999939
18.8367346939,3.0,1.99999984993
18.8367346939,4.0,1.99999516941
18.8367346939,5.0,1.9999453582
18.8367346939,6.0,1.99966751437
18.8367346939,7.0,1.99864670609
18.8367346939,8.0,1.99582604677
18.8367346939,9.0,1.98946257772
18.8367346939,10.0,1.97709708473
18.8367346939,11.0,nan
18.8367346939,12.0,1.92150490212
18.8367346939,13.0,1.87085159832
18.8367346939,14.0,1.79973145791
18.8367346939,15.0,1.70428470787
18.8367346939,16.0,1.58087447734
18.8367346939,17.0,1.42618883433
18.8367346939,18.0,nan
18.8367346939,19.0,1.01174077406
18.8367346939,20.0,0.747438256115
19.2244897959,1.0,2.0
19.2244897959,2.0,1.99999999963
19.2244897959,3.0,1.99999989919
19.2244897959,4.0,1.99999653323
19.2244897959,5.0,1.99995894261
19.2244897959,6.0,nan
19.2244897959,7.0,1.99892001865
19.2244897959,8.0,1.99659848918
19.2244897959,9.0,1.99126420984
19.2244897959,10.0,nan
19.2244897959,11.0,1.96223579197
19.2244897959,12.0,1.93248426355
19.2244897959,13.0,1.88790644172
19.2244897959,14.0,1.82479281874
19.2244897959,15.0,1.73946643876
19.2244897959,16.0,1.62841879726
19.2244897959,17.0,1.48841324292
19.2244897959,18.0,1.31655639572
19.2244897959,19.0,1.11034111135
19.2244897959,20.0,0.86766586471
19.612244898,1.0,2.0
19.612244898,2.0,1.99999999978
19.612244898,3.0,1.99999993226
19.612244898,4.0,1.99999751127
19.612244898,5.0,1.9999691409
19.612244898,6.0,1.99979902728
19.612244898,7.0,1.99913789526
19.612244898,8.0,nan
19.612244898,9.0,1.99275590045
19.612244898,10.0,1.98379843625
19.612244898,11.0,1.96784631918
19.612244898,12.0,1.94191351681
19.612244898,13.0,1.90268543694
19.612244898,14.0,1.846681454
19.612244898,15.0,1.77040874418
19.612244898,16.0,1.67049396251
19.612244898,17.0,1.54378672303
19.612244898,18.0,1.38743408159
19.612244898,19.0,1.19892839683
19.612244898,20.0,0.976132532393
20.0,1.0,2.0
20.0,2.0,1.99999999987
20.0,3.0,1.99999995447
20.0,4.0,1.99999821287
20.0,5.0,1.99997679954
20.0,6.0,nan
20.0,7.0,1.99931163387
20.0,8.0,1.99773917256
20.0,9.0,1.99399134451
20.0,10.0,1.98636816226
20.0,11.0,1.97261660912
20.0,12.0,1.95001389301
20.0,13.0,1.9154960088
20.0,14.0,nan
20.0,15.0,1.79763025606
20.0,16.0,1.70773965297
20.0,17.0,1.59307740298
20.0,18.0,1.45084279143
20.0,19.0,1.27854145863
20.0,20.0,1.07401555497
