0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
0.000E+00,2.677E+01,5.960E+01,9.504E+01,1.323E+02,1.323E+02,1.323E+02,1.323E+02
