0.0D,100.0D,200.23D,299.77D,400.46D,500.0D,4155.09D,73495.37D
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.440E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.440E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
0.000E+00,3.579E+01,7.213E+01,1.079E+02,1.433E+02,1.441E+02,1.441E+02,1.440E+02
